證券代號,投標開始日,近一月營收,近一月營收年增率,近一月營收月增率,營收增長規律性_R2,營收風險波動率_cv,近五月成長次數比率
7728,2025-02-13,21300.0,0.077,-0.133,0.297,0.189,0.25
7730,2025-10-16,56681.0,-0.241,0.005,0.013,0.44,0.5
7732,2024-12-24,100186.0,0.052,0.115,0.205,0.204,0.5
7734,2025-02-06,125764.0,-0.048,-0.322,0.038,0.232,0.5
7736,2025-02-25,145842.0,0.522,0.129,0.415,0.049,0.75
7738,2025-09-26,51202.0,0.411,-0.077,0.515,0.05,0.75
7740,2025-05-29,100363.0,17.936,0.79,0.074,0.284,0.25
7743,2025-05-05,83798.0,1.151,0.356,0.123,0.404,0.5
7744,2025-11-12,205230.0,0.32,0.177,0.416,0.11,0.5
7747,2025-06-26,122358.0,0.016,-0.042,0.57,0.07,0.25
7750,2025-09-02,970501.0,0.236,0.024,0.858,0.199,0.25
7751,2025-08-11,171183.0,0.902,0.068,0.744,0.061,0.75
7753,2025-07-23,79143.0,0.595,-0.015,0.034,0.078,0.5
7757,2025-10-01,194607.0,0.072,-0.142,0.052,0.073,0.5
7765,2025-08-22,141828.0,-0.043,-0.263,0.107,0.134,0.75
7767,2025-11-25,210778.0,-0.297,-0.059,0.717,0.145,0.75
7769,2025-11-12,3025370.0,0.944,0.036,0.983,0.052,1.0
7770,2025-11-25,49947.0,0.012,0.163,0.186,0.081,0.5
7777,2025-12-05,51231.0,0.64,1.591,0.0,329.242,0.5
7780,2025-08-25,147044.0,0.431,-0.015,0.147,0.114,0.5
7782,2025-10-09,60613.0,-0.032,-0.038,0.708,0.091,0.5
7786,2025-11-03,1100923.0,0.862,-0.198,0.14,0.092,0.25
7788,2025-09-26,506170.0,0.004,-0.034,0.044,0.02,0.25
7791,2025-10-09,239334.0,0.027,-0.169,0.009,0.069,0.75
7795,2025-12-31,362596.0,1.156,1.675,0.343,0.496,0.5
7799,2025-08-29,884.0,10000.0,-0.211,0.071,0.343,0.25
7805,2025-12-05,597084.0,0.114,0.091,0.633,0.082,0.75
7810,2025-12-08,85706.0,1.372,1.139,0.551,0.377,0.5
8028,2018-06-20,171289.0,0.056,-0.079,0.691,0.075,0.75
8045,2024-11-21,102075.0,-0.649,-0.262,0.122,0.554,0.25
8089,2020-09-03,241243.0,0.59,-0.101,0.325,0.078,0.75
8102,2025-12-05,35470.0,-0.134,0.136,0.261,0.148,0.5
8104,2018-12-26,200112.0,-0.051,-0.047,0.678,0.047,0.5
8162,2024-02-20,64263.0,-0.073,-0.322,0.521,0.14,0.25
8227,2022-11-30,76888.0,1.095,-0.377,0.272,0.379,0.25
8272,2024-10-02,38801.0,0.431,0.185,0.168,0.266,0.75
