證券代號,投標開始日,撥券日期(上市、上櫃日期),成交量,成交金額,開盤價,最高價,最低價,收盤價,價差,成交筆數,首日收盤溢價率,首日最高溢價率,首日最低溢價率,最低得標加價率,加權平均加價率
7709,2025-02-05,2025-02-25,1925504,113483238,56.9,61.2,56.6,61.0,16.0,1384,0.16,0.164,0.077,0.281,0.32
7711,2025-11-04,2025-11-19,2249112,627467110,282.0,296.5,268.5,278.0,0.0,2820,-0.17,-0.115,-0.198,0.179,0.325
7712,2024-12-06,2024-12-26,827951,171356936,204.0,212.5,201.0,206.5,20.5,792,0.039,0.069,0.011,0.181,0.229
7713,2025-02-04,2025-02-24,1059571,72371632,69.7,69.7,67.0,68.0,13.0,879,0.054,0.08,0.039,0.24,0.29
7714,2024-12-25,2025-01-15,410536,36023354,87.5,89.3,87.0,87.1,1.0,439,0.012,0.038,0.011,0.105,0.187
7715,2024-12-25,2025-01-15,1233835,59625060,49.8,49.8,46.5,48.7,9.1,876,0.093,0.118,0.044,0.299,0.35
7716,2025-10-09,2025-10-28,633218,17111468,26.95,28.8,25.5,27.6,6.6,496,0.077,0.124,-0.005,0.323,0.366
7717,2025-10-31,2025-11-17,945602,141337729,160.0,180.0,132.5,142.0,65.0,825,0.073,0.36,0.001,0.73,0.891
7718,2025-02-25,2025-03-18,1767342,97494871,55.0,57.5,53.8,54.8,14.8,1103,0.086,0.14,0.066,0.485,0.526
7721,2025-07-14,2025-07-29,1762176,129555524,73.6,75.8,72.2,74.0,0.0,1531,0.064,0.089,0.038,0.53,0.589
7722,2024-11-15,2024-12-05,1837946,925787863,510.0,520.0,465.0,509.0,0.0,4409,-0.035,-0.014,-0.118,0.191,0.287
7723,2025-04-15,2025-04-30,1495341,79587431,49.85,55.3,49.85,55.1,10.1,1403,0.186,0.191,0.073,0.12,0.156
7728,2025-02-13,2025-03-06,778468,289986728,355.0,409.0,351.0,401.0,181.0,1276,0.239,0.264,0.084,0.553,0.618
7730,2025-10-16,2025-11-04,389102,36618432,96.5,97.0,88.4,88.6,0.0,344,-0.13,-0.048,-0.132,0.415,0.5
7732,2024-12-24,2025-01-14,792187,35707456,43.6,49.2,43.45,47.3,0.0,690,0.119,0.164,0.028,0.309,0.321
7734,2025-02-06,2025-02-26,515156,799332780,1540.0,1590.0,1525.0,1560.0,310.0,1647,0.095,0.116,0.071,0.287,0.356
7736,2025-02-25,2025-03-18,1529972,184953147,119.5,125.0,116.5,121.0,0.0,1246,0.075,0.11,0.035,0.601,0.639
7738,2025-09-26,2025-10-16,956134,202234001,212.5,217.5,205.0,207.0,39.0,1203,0.017,0.069,0.007,0.441,0.466
7740,2025-05-29,2025-06-16,1035937,225025493,208.0,226.0,207.5,217.0,0.0,796,0.221,0.272,0.168,0.31,0.367
7743,2025-05-05,2025-05-20,843755,27419329,33.0,33.7,31.65,33.1,5.1,687,0.018,0.036,-0.027,0.228,0.301
7744,2025-11-12,2025-11-27,878881,250308762,286.0,291.5,280.0,283.5,3.5,1030,0.008,0.036,-0.005,0.132,0.205
7747,2025-06-26,2025-07-11,1728441,252634457,155.0,159.0,137.0,141.5,45.5,1800,0.031,0.159,-0.002,0.619,0.658
7749,2025-05-28,2025-06-13,2092997,1293461067,608.0,650.0,594.0,635.0,0.0,2684,0.457,0.492,0.363,0.36,0.466
7750,2025-09-02,2025-09-17,2075106,1864545337,882.0,925.0,882.0,919.0,0.0,3522,0.138,0.145,0.092,0.478,0.539
7751,2025-08-11,2025-08-26,1196800,599270295,498.5,519.0,485.5,515.0,155.0,1663,0.234,0.244,0.164,0.429,0.449
7753,2025-07-23,2025-08-11,845911,47034446,57.5,57.5,54.1,55.0,10.0,696,0.011,0.057,-0.006,0.371,0.403
7757,2025-10-01,2025-10-20,853706,116201730,132.5,140.5,130.5,136.5,35.5,988,0.04,0.07,-0.006,0.426,0.456
7765,2025-08-22,2025-09-08,1376426,459618890,339.0,343.5,328.0,331.0,0.0,1953,0.103,0.145,0.093,0.46,0.475
7767,2025-11-25,2025-12-10,1182857,57678693,47.8,50.0,46.0,50.0,9.0,865,0.048,0.048,-0.036,0.343,0.454
7769,2025-11-12,2025-11-27,4823875,13750921665,2710.0,3000.0,2705.0,2940.0,0.0,10523,0.448,0.478,0.332,0.614,0.698
7770,2025-11-25,2025-12-10,502080,29429571,58.6,59.6,57.0,58.9,0.5,461,0.009,0.021,-0.024,0.136,0.215
7777,2025-12-05,2025-12-22,4460175,105010632,22.05,24.55,22.05,23.85,5.85,3073,0.084,0.115,0.002,0.34,0.467
